COMPANY_NAME,GEO,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,fff
ABERCROMBIE AND FITCH,APAC,342444.43,477783.16,484199.18,432538.1,326963.06,396962.42,452665.55,455068.22,388504.22,456254.59,426412.25,4639795.18
ABERCROMBIE AND FITCH,EMEA,666428.63,699141.2,381925.78,584886.03,618360.74,743485.82,696438.47,865724.55,463360.78,598585.42,777878.45,7096215.87
ABERDEEN ASSET MANAGEMENT INC.,Americas,988103.39,930978.39,859663.97,1019977.29,710574.43,718433.17,781021.75,742650.33,735400.91,881759.58,899751.35,9268314.56
ABEY AUSTRALIA PTY LTD,APAC,147975.42,128219.06,119962.72,149497.77,163745.81,106963.88,205598.97,137327.13,205838.67,181722.39,157208.07,1704059.89
ABILITY NETWORK INC.,Americas,495805.72,420846.45,572025.13,588497.11,520542.86,697286.16,552654.27,686299.84,596485.56,514649.32,404820.11,6049912.53
ABILITYFIRST,Americas,111385.68,113903.12,120053.5,120696.34,115374.25,174420.79,146277.38,143981.35,173580.66,224023.71,128836.46,1572533.24
"ABIOMED, INC.",Americas,2507666.07,2718089.68,2739805.38,3054278.16,3057734.09,3364677.31,3826408.1,3740232.02,4480434.86,3869889.78,4529807.91,37889023.36
"ABIOMED, INC.",APAC,0,0,1750.63,0,0,10924.02,54901.76,72519.77,95125.14,49582.8,125802.17,410606.29
"ABIOMED, INC.",EMEA,52616.85,48121.83,28402.94,18946.19,87456.9,160978.86,241733.65,265944.7,230943.06,274582.87,311271.97,1720999.82
ABITEC CORPORATION,Americas,139530.05,145155.85,163302.03,154999.37,139507.24,158365.93,252443.8,168827.12,142607.67,165915.4,252853.39,1883507.85
"ABLENET, INC.",Americas,142799.1,126968.81,134996.32,215964.81,138010.65,133097.51,159603.68,237660.31,168871.15,159406.36,225006.43,1842385.13
ABM (ADVANCED BIOLOGICAL MARKETING),Americas,113658.95,81588.7,72443.45,64458,80616.7,63107.27,71996.99,63023.25,73006.77,71840.33,91750.43,847490.84
"ABN AMRO BANK N.V., HONG KONG BRANCH",APAC,168674.38,308487.03,312556.67,450169.61,187118.58,205902.51,232953.01,415063.09,265233.43,260854.74,216841.33,3023854.38
ABN AMRO HOLDINGS USA LLC,Americas,499137.05,984652.87,640274.26,850853.03,457755.86,547154.47,765678.23,860995.22,426149.28,860019.95,964539.85,7857210.07
"ABRA AUTO BODY & GLASS, LP.",Americas,705868.04,913039.27,925201.44,1050633.43,921465.96,1030882.32,947151.58,945463.52,903613.54,944470.65,949095.65,10236885.4
ABRASIVE TECHNOLOGY INC,Americas,88936.1,122195.8,106004.67,291991.88,207210.48,175564.96,230852.86,184261.28,232756.85,210111.19,178787.05,2028673.12
ABRASIVE TECHNOLOGY INC,EMEA,0,0,15,2336.2,2900.74,3274.52,3831.88,6756.96,5400.14,4158.01,4068.77,32742.22
ABS CAPITAL PARTNERS INC,Americas,227532.6,179655.18,185915.91,236451.06,140296.58,161173.5,157366.17,177666.45,204679.87,168176.71,111354.55,1950268.58
ABS INVESTMENT MANAGEMENT LLC,Americas,141997.79,156786.37,108838.66,229242.57,150689.13,291044.56,214301.91,195471.58,316923.46,249359.81,169792.5,2224448.34
ABSOLUTE SOFTWARE CORPORATION,Americas,855492.91,1126108.26,837206.05,1243117.82,1074418.79,818467.36,938304.43,1199703.97,1106175.4,1263382.36,899779.94,11362157.29
ABSOLUTE SOFTWARE CORPORATION,APAC,14088.99,29761.87,93073.78,123707.55,39576.02,62362.06,18012.54,5659.44,611.93,1238.17,3014.4,391106.75
ABSOLUTE SOFTWARE CORPORATION,EMEA,50810.21,66109.19,79592.61,41306.58,62210.93,59187.98,71407.28,101112.18,65180.56,57657.22,42353.52,696928.26
ACADEMIC ANALYTICS,Americas,217568.71,208158.03,164506.46,223323.35,139534.55,229894.83,131015.77,186762.83,167005.36,178287.07,154994.12,2001051.08
ACADEMIC ANALYTICS,EMEA,266.14,836.09,124.53,215.57,26.3,0,0,0,0,0,0,1468.63
ACADEMIC PARTNERSHIPS LLC,Americas,269303.8,361986.88,339032.96,375050.09,367613.16,371259.02,430392.57,536566.69,578137.51,622186.87,547988.02,4799517.57
ACADEMIC PARTNERSHIPS LLC,EMEA,0,0,0,0,0,0,822.3,0,0,306,0,1128.3
"ACADEMICWORKS, INC.",Americas,40564.59,74359.09,71948.73,103819.63,61579.45,56713.16,52872.64,52172.96,42441.32,51687.4,101,608259.97
"ACADIA HEALTHCARE COMPANY, INC",Americas,2361288.62,2693802.66,2503640.35,2844798.53,2373739.09,2280390.65,1761196.3,2010916.98,3104793.84,7421961.22,7757941.7,37114469.94
ACADIAN ASSET MANAGEMENT LLC,Americas,830323.72,972028.63,712757.14,923281.58,852067.22,1222677.45,1145903.97,1143839.38,883718.63,1294700.46,1129733.59,11111031.77
ACADIAN ASSET MANAGEMENT LLC,APAC,0,0,0,0,0,0,0,0,28682.1,33941.07,481.27,63104.44
ACADIAN ASSET MANAGEMENT LLC,EMEA,0,0,0,0,0,0,0,0,0,1233.59,0,1233.59
ACADIAN SEAPLANTS LIMITED - CTE,Americas,327557.98,374169.59,500048.02,471303.6,377961.52,465375.58,451364.74,499542.2,516419.07,472152.67,549102.23,5004997.2
ACADIAN SEAPLANTS LIMITED - CTE,APAC,956.68,6307.24,2357.81,9451.19,2387.63,6536.54,23256.02,40751.3,23325.51,37679.99,58809.09,211819
ACADIAN SEAPLANTS LIMITED - CTE,EMEA,0,0,3602,6029.83,2601.33,15242.99,6628.01,12175.34,11959.05,20545.65,26308.67,105092.87
ACAL BFI UK,EMEA,90089.65,96226.94,100637.21,95405.29,79326.35,85699.59,69525.26,64472.52,60042.57,60935.36,44490.53,846851.27
ACCEL PARTNERS MANAGEMENT,EMEA,515934.21,657260.37,453821.48,540163.98,640670.01,692494.76,549890.61,776348.36,547877.59,421245.35,634421.36,6430128.08
ACCELERATOR CORPORATION,Americas,66193.64,62194.59,128359.49,118573.72,90117.01,109600.59,91798.24,76847.54,69575.45,88433.75,57079.32,958773.34
"ACCELLION, INC.",Americas,227131.3,175909.65,145178.96,159797.83,149826.53,122276.09,169279.57,128053.24,183017.51,145315.83,134757.31,1740543.82
"ACCELLION, INC.",APAC,29500.63,15735.88,27197.57,25419.39,29496.74,14149.31,24646.43,23251.74,24260.42,11723.34,31166.44,256547.89
"ACCELLION, INC.",EMEA,61345.82,49295.7,48736.71,83202.73,59459.2,81530.81,57099.87,41947.76,32328.14,108424.83,69971.15,693342.72
"ACCESS INFORMATION MANAGEMENT SHARED SERVICES, LLC",Americas,880431.77,1167772.77,1055845.98,1182985.07,1457879.95,1110281.69,1329495.49,1491512.62,816731.05,852311.16,1276676.81,12621924.36
"ACCESS INSURANCE HOLDINGS, INC.",Americas,109496.87,138481.25,153315.38,137928.73,131469.43,109480.06,153538.01,193926.97,208891.84,169637.5,170366,1676532.04
"ACCESS INTELLIGENCE, LLC",Americas,504477.57,780605.71,523524.18,969275.17,626805.24,812430.15,560457.73,756378.21,678480.14,1031199.45,693024.67,7936658.22
ACCESS MANAGEMENT SERVICES,Americas,98833.82,159973.4,107885.53,98165.33,63108.18,62452.96,70708.42,75195.06,74804.71,70596.45,75402.79,957126.65
ACCESS SCIENTIFIC,Americas,304418.59,327228.24,316796.3,292818.99,375881.59,397776.97,368855.65,351371.61,347813.56,389075.69,366815.25,3838852.44
"ACCESS TCA, INC.",Americas,1407222.45,3754497.69,918623.77,1730528.13,1477528.21,2291721.27,1170858.73,865607.13,2544759.82,2852116.13,1462398.51,20475861.84
ACCIDENT FUND INSURANCE COMPANY OF AMERICA,Americas,1330144.56,1654812.99,1443091.72,1730686.35,1461255.92,1445410.6,1756468.07,2331526.43,1563954.23,1594815.75,1486102.39,17798269.01
